EventId,Class,Weight
138683,b,4.58578001057
164939,b,5.00593790058
103954,b,4.74755956499
220374,s,0.018636116672000002
272861,b,4.92432579887
249303,b,1.4548484726800002
211626,b,2.2553387376400003
264553,b,6.199883377490001
155779,b,1.4548484726800002
241990,s,0.018636116672000002
276728,s,0.018636116672000002
122049,s,0.0015027048310099999
177431,b,2.41590638515
211499,b,4.44303265018
328764,s,0.0015027048310099999
129675,b,0.7440562472300001
136726,b,0.307169523947
175959,b,2.3663355095900003
347465,b,1.8343330415
228856,b,0.95211353686
134524,s,0.018636116672000002
214951,s,0.0015027048310099999
201078,b,2.7972623186699996
309306,s,0.0026533113373299996
223691,s,0.018636116672000002
220449,b,1.4548484726800002
198055,b,1.97403607349
298904,s,0.0026533113373299996
213368,b,2.36851128594
115501,b,3.024604529
280179,b,1.89877630004
211013,b,0.7440562472300001
308704,b,1.4548484726800002
238104,b,0.9832992663169999
255476,s,0.0015027048310099999
160727,b,5.10502596616
275429,s,0.0015027048310099999
124991,b,2.07892926854
221661,s,0.018636116672000002
142897,b,5.52635064023
165707,b,2.35390868471
124629,b,4.53606926131
138489,s,0.0015027048310099999
143700,b,1.68161144262
181627,s,0.018636116672000002
203296,b,1.68161144262
220291,s,0.0015027048310099999
106124,s,0.018636116672000002
305283,b,1.68161144262
114438,b,4.5537175202
212758,b,5.00851887422
255037,b,5.72056793176
263613,s,0.0015027048310099999
268088,s,0.0015027048310099999
189085,s,0.0015027048310099999
278220,b,0.7440562472300001
144622,b,2.45771937682
281518,s,0.0015027048310099999
210182,b,3.2671503704
336010,b,4.36696731064
205083,b,0.307169523947
115230,b,0.0640607773058
101189,s,0.0015027048310099999
255433,s,0.0015027048310099999
207704,s,0.018636116672000002
211047,s,0.0026533113373299996
168067,b,0.0834140312717
200473,b,2.08628726852
252019,b,1.68161144262
299817,s,0.0015027048310099999
168528,s,0.00150187015894
224987,s,0.0015027048310099999
120281,b,1.3041722925
260849,b,5.32216218322
225905,s,0.0015027048310099999
193084,b,4.88155691613
112670,b,2.40020308992
333662,b,1.04377431719
171254,b,1.13012868757
112954,s,0.018636116672000002
201822,b,1.68161144262
195828,b,1.68161144262
235247,b,2.88474206491
126909,s,0.0015027048310099999
221176,s,0.0015027048310099999
172156,s,0.0015027048310099999
120621,b,2.0232074895
180045,b,6.20990723332
181275,s,0.0015027048310099999
261593,b,0.07389912981499999
294245,b,2.1565736114500003
267957,s,0.0015027048310099999
157524,b,4.39002913679
310118,b,4.96259967339
180721,s,0.0015027048310099999
256220,b,1.68161144262
330115,b,2.24086569375
214916,b,2.17822497593
135692,s,0.0015027048310099999
239737,b,2.4167546459900002
321840,s,0.018636116672000002
169582,b,4.44801211014
132923,b,0.309795155685
330746,s,0.0015027048310099999
298761,s,0.0015027048310099999
269665,b,1.68161144262
329619,b,0.307169523947
113858,b,5.09572090977
163093,b,0.0834140312717
276365,s,0.0026533113373299996
187568,s,0.0015027048310099999
225538,b,2.25929370555
338783,b,2.16009324379
145550,b,4.77932164059
297861,b,1.68161144262
301859,b,2.38882223729
326609,b,0.0640607773058
144712,b,2.7167262749699996
177887,s,0.0015027048310099999
211284,b,1.37171370752
334144,s,0.018636116672000002
307862,b,5.242221955580001
107158,b,0.07389912981499999
144540,b,5.23586553977
193832,b,4.70374029725
199367,b,0.07389912981499999
115156,b,1.68161144262
124018,b,0.07389912981499999
150731,b,2.11344268182
295214,s,0.018636116672000002
271592,s,0.0015027048310099999
136254,s,0.0015027048310099999
217580,s,0.0015027048310099999
213098,b,2.12982052569
145961,s,0.018636116672000002
338699,b,4.63972269989
250967,b,2.28311754473
237692,b,4.22794282741
210561,b,0.7440562472300001
166853,s,0.018636116672000002
138971,b,0.7440562472300001
242669,b,1.68161144262
185239,s,0.018636116672000002
236513,b,0.0713571365583
279822,s,0.0015027048310099999
129588,s,0.0026533113373299996
328035,s,0.018636116672000002
136216,s,0.0015027048310099999
287120,b,0.309795155685
137283,s,0.018636116672000002
115272,s,0.018636116672000002
186250,b,0.7440562472300001
145339,b,4.55550174617
336643,s,0.0015027048310099999
343561,s,0.0026533113373299996
315495,s,0.018636116672000002
337150,b,0.0713571365583
255184,s,0.018636116672000002
287248,b,4.8847645456199995
257928,b,1.68161144262
234935,b,1.37740013542
162170,s,0.0015027048310099999
155181,s,0.018636116672000002
100117,b,6.51160169304
111546,b,2.2029637051599997
302033,b,1.68161144262
227414,b,4.6200313705800005
156137,b,4.29613720764
208062,b,5.06273127828
226807,s,0.0026533113373299996
315901,b,0.0640607773058
173122,b,0.307169523947
297598,s,0.018636116672000002
130157,b,2.0594085244099998
233698,b,1.0791246601
148288,s,0.0015027048310099999
179598,s,0.0015027048310099999
295561,b,2.3217197319
300803,b,2.05370002824
297737,b,2.12761712999
281212,b,1.68161144262
129208,b,4.41130051454
134790,b,1.10372974692
224863,b,3.01385070806
338481,s,0.0015027048310099999
100715,s,0.0015027048310099999
290432,b,1.4548484726800002
204833,b,1.68161144262
335719,s,0.0015027048310099999
257252,b,1.3733909471099999
212663,s,0.0015027048310099999
206798,s,0.018636116672000002
118563,b,5.763448997459999
150992,b,0.7440562472300001
